"视频描述","视频ID","发布时间","完播率","平均播放时长","播放量","推荐","喜欢","评论量","分享量","关注量","转发聊天和朋友圈","设为铃声","设为状态","设为朋友圈封面","企微链接点击次数","企微链接点击人数","添加到通讯录次数","添加到通讯录人数"
"规格好看，不等于入口最好。#松茸 #买菜避坑 #野生菌","export/UzFfBgAAxMunXBYMOEGPjMzT4DCa3kmBnrXpik0EM7EFX7_g6g","2026/07/28","42.66%","16.05秒",14198,18,37,2,86,14,86,0,0,0,,,,
"菌衣不是脏东西，别下手太狠。#松茸 #菌衣 #山货知识","export/UzFfBgAAxPenJFU2IlSPjMzT4DCatnEBlykxMmAOBuIwYloDNQ","2026/07/28","32.85%","11.76秒",1254,1,0,0,1,0,1,0,0,0,,,,
"能体面上桌的，都过了时间和品相这两道关。#松茸价格 #山珍到家 #食材供应","export/UzFfBgAAxMWnDCtRTiONjMzT4DCaCNCTcg0WQdYy7nSrZ0PCiw","2026/07/27","18.34%","12.49秒",747,0,0,0,0,0,0,0,0,0,,,,
"泥要去掉，但别把能吃的香气也一起刮掉。#松茸处理 #野生菌 #美食避坑","export/UzFfBgAAxKOgJGM2RCmNjMzT4DCaYvZRdjsPIBy2VqJ-7QmP5g","2026/07/27","23.50%","14.65秒",782,0,0,0,0,0,0,0,0,0,,,,
"高客单食材买多不等于划算，吃得及时才是真划算。#买松茸 #松茸促销 #山珍","export/UzFfBgAAxMSnXFRxHmaCjMzT4DCar5joZukmQ8Zrw7cUr-L5-w","2026/07/26","27.15%","15.38秒",615,0,0,0,0,0,0,0,0,0,,,,
"漂亮大片上桌，小边角也有自己的用处。#松茸处理 #厨房不浪费 #山珍","export/UzFfBgAAxNWnVBslPFGDjMzT4DCaL6607tnkPznBKSxUvMny6w","2026/07/25","21.19%","12.45秒",656,0,1,0,0,0,0,0,0,0,,,,
"松茸不适合被一锅乱炖，香气分散了就吃不明白。#松茸揭秘 #高端食材 #山珍","export/UzFfBgAAxMinAFoTHiGBjMzT4DCaW2TZU5DuOiGz32sBy4rvBA","2026/07/24","30.23%","10.85秒",1236,1,1,0,0,0,0,0,0,0,,,,
"冷链到室温会回潮，判断松茸不能只看一层水汽。#松茸开箱 #山珍揭秘 #买菜避坑","export/UzFfBgAAxMunJEp7JDuBjMzT4DCa09p39H1AdDzammZcprkPig","2026/07/24","26.83%","11.15秒",1024,0,0,0,0,0,0,0,0,0,,,,
"松茸不是饼干，压得越实越容易闷坏、压坏。#松茸包装 #山珍配送 #买菜避坑","export/UzFfBgAAxPCnFHQzcwaGjMzT4DCaqRI7c5Ix0zB_tEvRTKUZcA","2026/07/23","16.83%","11.70秒",505,0,0,0,0,0,0,0,0,0,,,,
"整朵发给你，是为了让你看到状态，也为了少散一点香。#松茸 #山珍揭秘 #开箱验货","export/UzFfBgAAxManAEBXXwiGjMzT4DCaN_Bz3m-RMMEjBxfFtxqs8g","2026/07/23","33.24%","13.03秒",1380,1,1,0,0,0,0,0,0,0,,,,
"野生菌最怕堆太满，好状态不是一次性堆出来的。#松茸开箱 #冷链 #山珍","export/UzFfBgAAxMmnMCMNMEKEjMzT4DCapU0cI1MlMVQL3ni6Bx4FlQ","2026/07/21","13.46%","11.97秒",416,0,0,0,0,0,0,0,0,0,,,,
"不同部位有不同吃法，松茸切错了，再好的菌也吃不出层次。#松茸切法 #山珍吃法 #美食揭秘","export/UzFfBgAAxMCnPHcpXBK7jMzT4DCaWgbWOWyCZ32__8Y28eYb8A","2026/07/19","19.86%","12.39秒",419,0,0,0,1,0,1,0,0,0,,,,
"商家不把松茸洗得雪白，不一定是偷懒，有时是在保住香气。#松茸 #开箱验货 #野生菌","export/UzFfBgAAxPGnWDUwPWi7jMzT4DCaRzddOPAx_EszB_ucHBGJVA","2026/07/19","22.74%","14.30秒",664,0,0,0,0,1,0,0,0,0,,,,
"带泥不等于差，关键看泥是自然附着，还是水汽闷出来。#松茸 #山货 #买菜避坑","export/UzFfBgAAxNmnHDsMWX-4jMzT4DCavswJfg1iMjBHvEVQJadCYQ","2026/07/18","15.34%","11.28秒",364,0,0,0,0,0,0,0,0,0,,,,
"松茸在菜里放多少，要看香气能不能撑住整道菜。#松茸 #餐厅揭秘 #高端食材","export/UzFfBgAAxNWnNF8mDlm4jMzT4DCabe8FOe12Wi22x8aL9RGdYg","2026/07/18","28.55%","12.48秒",797,1,1,0,1,0,1,0,0,0,,,,
"真正会看松茸的人，看伞、看柄、闻香气。#松茸 #分级揭秘 #山珍","export/UzFfBgAAxKGgaEJvTF25jMzT4DCaJiul8XinG_IocsVM_4ALiw","2026/07/17","4.85%","8.22秒",433,0,0,0,0,0,0,0,0,0,,,,
"松茸好不好，不只看表面，箱底水汽更容易露馅。#松茸 #开箱验货 #买菜避坑","export/UzFfBgAAxPWnRFcOHiy-jMzT4DCax9WE-zF7KQYlmgLzsRt8ZQ","2026/07/17","22.52%","11.70秒",906,0,1,0,1,1,1,0,0,0,,,,
"松茸深山采挖后多轮流通，层层流转抬高终端售价 #松茸 #野生菌 #美食","export/UzFfBgAAxMCnFC5jEQu_jMzT4DCak-k4KyEuF0ANCXEU3PeKUg","2026/07/16","25.65%","11.70秒",924,2,3,0,0,1,0,0,0,0,,,,
"错过这二十天，今年就真吃不上了　#松茸 #时令鲜味 #老广记忆","export/UzFfBgAAxN6nQCpeRU-9jMzT4DCac1_31ZfTCeWt_VOc40W_3g","2026/07/14","32.20%","14.23秒",1357,0,0,0,1,0,1,0,0,0,,,,
"买松茸先看这点：遇到“人工种植松茸”要谨慎，真正好吃的松茸讲究野生共生环境，别被低价噱头带偏。#美食 #松茸","export/UzFfBgAAxNmnbHBAFDmzjMzT4DCaEfFnydPDJEzPt3spyxPZCg","2026/07/13","23.99%","16.10秒",1434,1,2,1,0,1,0,0,0,0,,,,
"会买的人不只问产地，还看伞、柄、香气。#松茸 #挑松茸 #食材避坑","export/UzFfBgAAxMSnEGNPZW-wjMzT4DCafB2pSt3P2r0plhGRkd0EIw","2026/07/12","15.50%","11.77秒",825,0,1,0,0,1,0,0,0,0,,,,
"处理前先闻香，不是矫情，是判断这朵松茸值不值得清煎。#松茸 #厨房技巧 #山珍","export/UzFfBgAAxNanAA1teU6xjMzT4DCadEJbL3q7CHMmRtJl08soHg","2026/07/11","15.13%","16.95秒",522,0,0,0,0,0,0,0,0,0,,,,
"看着干净不等于好吃，松茸吃的是香，不是漂白感。#松茸 #美食避坑 #厨房技巧","export/UzFfBgAAxPSnFDpLaS23jMzT4DCaSRvbG3jx-x7EBTLlvucsAQ","2026/07/10","22.70%","12.42秒",969,0,1,0,0,0,0,0,0,0,,,,
"买松茸先看这点：遇到“人工种植松茸”要谨慎，真正好吃的松茸讲究野生共生环境，别被低价噱头带偏。#松茸避坑 #野生松茸 #美食科普 #食材挑选 #菌菇美食","export/UzFfBgAAxN-nJBYVMw-3jMzT4DCaE6caQJQsOw3JtypaGuqdWA","2026/07/10","15.59%","15.29秒",417,1,1,0,1,0,1,0,0,0,,,,
"水温随便、时间随便，最后泡出来的不是鲜，是一盆菇水。#荔枝菌 #菌干 #煲汤技巧","export/UzFfBgAAxK2gYBd9LQ20jMzT4DCaAUykQLCRJ5vLFZ9YR-LHxQ","2026/07/09","21.47%","12.81秒",815,0,2,0,0,1,0,0,0,0,,,,
"老广煲汤一世，松茸炖鸡那锅清水喝一口就知道什么叫""鲜到发麻""。 #松茸 #松茸炖鸡 #老广煲汤","export/UzFfBgAAxKigBCxJBxG0jMzT4DCaITFCUVb7kLFMXB-3SPj40w","2026/07/09","8.77%","10.83秒",604,0,0,0,1,1,1,0,0,0,,,,
"菌干不是泡越久越好，水温和时间一错，香气先跑。#荔枝菌 #菌干泡发 #厨房技巧","export/UzFfBgAAxNinRCUJbHW0jMzT4DCa7tiLpvLMiOUhoWt6toAWJQ","2026/07/09","23.43%","13.71秒",717,2,5,0,1,2,1,0,0,0,,,,
"叫法越乱，越要回到当季、来路、品相和入口那口鲜。#荔枝菌 #鸡枞菌 #广东美食","export/UzFfBgAAxMOnECglCGK1jMzT4DCaIjYvJIJnM9MCPeITTWFr5g","2026/07/08","18.00%","13.43秒",1100,0,0,0,0,1,0,0,0,0,,,,
"鸡枞菌、荔枝菌、夏至菇，很多时候不是同一套命名标准。#荔枝菌 #鸡枞菌 #科学解密","export/UzFfBgAAxNunQE0Wa0K1jMzT4DCai46HLUBXNkB9gJQGVvASbA","2026/07/08","45.67%","18.64秒",20325,11,15,16,25,4,25,0,0,0,,,,
"老一辈守菌窝，最怕后人只记得去哪里，不记得怎么停手。#荔枝菌 #家族记忆 #山里规矩","export/UzFfBgAAxMqnBCgKVU6qjMzT4DCahp8gTElpbbjg2XB0OWOTCg","2026/07/07","33.33%","17.46秒",1836,3,3,1,0,1,0,0,0,0,,,,
"三代人守一个菌窝，传的不是路线，是对山和季节的分寸。#荔枝菌 #菌窝传三代 #老家记忆","export/UzFfBgAAxNenSGozPiarjMzT4DCaDnx0iBWJz7UL-nNN9nDIcg","2026/07/07","28.02%","14.49秒",1417,1,1,0,2,2,2,0,0,0,,,,
"一句当天煮，听着啰嗦，其实是老人最懂的保鲜课。#荔枝菌 #城里孩子 #老家牵挂","export/UzFfBgAAxM2nYA5jEjGojMzT4DCakB0IAt2pTTuQ2AVG3vmp9Q","2026/07/06","26.90%","19.66秒",1356,1,4,0,0,0,0,0,0,0,,,,
"老人寄来的不是贵东西，是怕孩子忘了季节是什么味。#荔枝菌 #阿婆牵挂 #家乡味","export/UzFfBgAAxNqnXB4DfRmojMzT4DCacpYMiI_2K59qNSqHumx4RQ","2026/07/06","31.95%","17.83秒",2732,3,4,0,5,1,5,0,0,0,,,,
"有些童年味道，不是地图带你找到，是老人一点点教出来的。#荔枝菌 #外公进山 #岭南记忆","export/UzFfBgAAxNinCEtdfBupjMzT4DCaOFqRbqw2C7NdJo96g3YeJg","2026/07/05","33.40%","17.68秒",3846,1,3,0,2,0,2,0,0,0,,,,
"不会做的人最怕味道淡，结果最容易把荔枝菌的鲜盖住。#荔枝菌 #清蒸 #广东饭桌","export/UzFfBgAAxMKnfGtqE26pjMzT4DCa_eUlASaUjSFRKRMr_n3EUA","2026/07/05","28.55%","16.85秒",1755,1,1,0,3,1,3,0,0,0,,,,
"小时候不懂，长大才知道外公教的不是找菌，是对山有分寸。#荔枝菌 #童年回忆 #老家味道","export/UzFfBgAAxNunXDtGdXupjMzT4DCaeTqAUY2agYIDjHLAk-_gAg","2026/07/05","26.51%","18.04秒",727,1,1,0,0,0,0,0,0,0,,,,
"老家人不讲高级，只问够不够分，那才是荔枝菌最贵的地方。#荔枝菌 #家乡味 #老广饭桌","export/UzFfBgAAxMmnPHgZI0CujMzT4DCalKgzrUdUcDy_nIdndazNpQ","2026/07/04","32.03%","16.81秒",3003,2,4,0,1,0,1,0,0,0,,,,
"老家味道不只是食材，是那句喊你回家喝汤的声音。#荔枝菌 #老家味道 #广东美食","export/UzFfBgAAxMGnAD4UWlKujMzT4DCaVGvPQs9AQsALLpy1cHnYqg","2026/07/04","30.91%","17.53秒",1633,1,0,0,0,1,0,0,0,0,,,,
"家里人越期待，越怕自己把这一口时令鲜做翻车。#荔枝菌 #老广吃法 #家常菜","export/UzFfBgAAxNGnWB5Bc1yujMzT4DCaShkBnsJm6HbCPqzQmKSlvQ","2026/07/04","25.29%","14.83秒",941,0,0,0,0,1,0,0,0,0,,,,
"有人觉得过季明年再买就行，但真正的当季味道，错过就是一整年。#荔枝菌 #过季 #老广记忆","export/UzFfBgAAxMinRAx2Py2sjMzT4DCaLz7WORwd-0Vtga6C8EldlA","2026/07/03","35.61%","17.45秒",3724,1,4,0,4,1,4,0,0,0,,,,
"荔枝菌快结束的时候，舍不得不是矫情，是知道今年这口鲜快收尾了。#荔枝菌 #菌期结束 #时令美食","export/UzFfBgAAxMmnIHZpODKsjMzT4DCalSI8XTXeia37Plxulu3j6Q","2026/07/03","22.30%","20.67秒",749,0,0,0,0,0,0,0,0,0,,,,
"第一次买荔枝菌，最怕不是贵，是好东西到家被做浪费了。#荔枝菌 #广东美食 #厨房避坑","export/UzFfBgAAxNGnXF4UWA6sjMzT4DCaYMyERypt8tgcJH0m4qLZmQ","2026/07/03","20.32%","15.89秒",1299,0,1,0,1,1,1,0,0,0,,,,
"香港亲戚回乡吃荔枝菌，表面是吃饭，背后是赶一口短季节。#荔枝菌 #回乡饭桌 #老广记忆
","export/UzFfBgAAxNCnZDNXGQ6tjMzT4DCamjKwSsf6bqgU2asviFVBXQ","2026/07/02","24.59%","18.55秒",2424,6,9,0,2,1,2,0,0,0,,,,
"香港亲戚回乡吃荔枝菌，表面是吃饭，背后是赶一口短季节。#荔枝菌 #回乡饭桌 #老广记忆
","export/UzFfBgAAxNenGBhXfmStjMzT4DCaieocjxIuavmYOjXlcsIyUQ","2026/07/02","25.16%","12.68秒",1367,2,1,0,0,1,0,0,0,0,,,,
"不是这代人不识货，是没人教他们怎么识货。#荔枝菌 #传承 #老广智慧","export/UzFfBgAAxNGnQBUPY1qtjMzT4DCayNTN1eqVbjlE1Bj2_tYqeA","2026/07/02","16.50%","15.01秒",490,0,1,0,0,0,0,0,0,0,,,,
"荔枝菌不是网红新宠，是老广三代人的夏令暗号。#荔枝菌 #代际传承 #老广","export/UzFfBgAAxMenbEpmaxuijMzT4DCaQVlLh4YjjQULdcKaeChRkQ","2026/07/01","21.74%","13.81秒",1785,0,0,0,0,1,0,0,0,0,,,,
"有人觉得节日煲汤越浓越体面，但荔枝菌偏偏适合清。#荔枝菌 #广东靓汤 #节日饭桌","export/UzFfBgAAxNanHAp9Yk-ijMzT4DCaLnmIO0z2W8fppfTBWo-DrA","2026/07/01","30.40%","16.68秒",1740,3,5,0,1,0,1,0,0,0,,,,
"节日饭桌上，荔枝菌汤不是最热闹的菜，却最能收住一桌。#荔枝菌 #节日煲汤 #广东饭桌","export/UzFfBgAAxK6gbDc4HFaijMzT4DCaanQn110suZkVxyWbUifc4w","2026/07/01","21.90%","14.17秒",991,0,3,0,0,3,0,0,0,0,,,,
