"视频描述","视频ID","发布时间","完播率","平均播放时长","播放量","推荐","喜欢","评论量","分享量","关注量","转发聊天和朋友圈","设为铃声","设为状态","设为朋友圈封面","企微链接点击次数","企微链接点击人数","添加到通讯录次数","添加到通讯录人数"
"会判断，才不会把好货误判成坏货。#松茸 #松茸知识大全 #新鲜松茸 #滋元堂","export/UzFfBgAAxMqgYF57PT71k8zT4DCaRczpf6_kC6vi4JISeFzWrA","2026/08/27","16.88%","13.43秒",308,0,0,0,0,0,0,0,0,0,,,,
"固定秒数，不如看状态。#松茸 #松茸知识大全 #松茸做法 #美食","export/UzFfBgAAxPCgGCBmKRD1k8zT4DCapvN36rhKob49lRExj057rA","2026/08/27","29.36%","13.28秒",453,0,0,0,2,0,2,0,0,0,,,,
"不是放进冰箱，就算保存成功。#松茸 #松茸保存方法 #新鲜松茸 #菌菇","export/UzFfBgAAxOegDAIAXXz1k8zT4DCakzlFsxd3su1BZLlmvHBgkw","2026/08/27","21.21%","10.32秒",297,1,0,0,0,0,0,0,0,0,,,,
"贵的菌，最怕被反复加热。#松茸 #松茸知识大全 #松茸做法 #美食","export/UzFfBgAAxPagWGdYaUn1k8zT4DCaF6thznncf11tejH1y-OfWg","2026/08/27","17.45%","9.04秒",212,0,0,0,0,0,0,0,0,0,,,,
"完全解冻，口感可能先塌。#松茸 #松茸保存方法 #野生松茸 #滋元堂","export/UzFfBgAAxMOgEGk4IW3qk8zT4DCaKCjdVLKc7Qo1NISiQDVTCg","2026/08/26","30.18%","14.35秒",656,0,2,0,5,1,5,0,0,0,,,,
"鲜货和干货，是两种吃法。#松茸 #松茸知识大全 #野生松茸 #菌菇美食","export/UzFfBgAAxPegBA5pLEHrk8zT4DCaH8ymjB8ZOzEv_IB-o1hWbA","2026/08/25","29.15%","14.54秒",470,0,2,0,2,0,2,0,0,0,,,,
"泡沫箱不是保险柜，到家要先开箱。#松茸 #松茸保存方法 #新鲜松茸 #野生菌","export/UzFfBgAAxP2gNFQ6Gkjrk8zT4DCaPxBTLg54IgcJOxjdZcvbgg","2026/08/25","32.79%","15.97秒",912,0,3,0,1,0,1,0,0,0,,,,
"松茸短存，最怕水汽出不来。#松茸 #松茸保存方法 #野生松茸 #菌菇","export/UzFfBgAAxPygXCNvOTHok8zT4DCa-642xLP6nIIXuyoGL_sDuA","2026/08/25","32.03%","15.14秒",434,0,0,0,1,0,1,0,0,0,,,,
"提前省事，可能等于提前浪费。#松茸 #松茸保存方法 #新鲜松茸 #野生菌","export/UzFfBgAAxO6gOGwAbgPok8zT4DCaEUSLUhiS3gbPR5iXaLR3Bw","2026/08/25","29.70%","11.70秒",403,0,1,0,0,1,0,0,0,0,,,,
"越想洗干净，越容易把鲜味泡走。#松茸 #松茸知识大全 #新鲜松茸 #野生菌","export/UzFfBgAAxMSgCEdNHBLok8zT4DCaKwag4H4IJZSp6Mnw2rKrFw","2026/08/25","22.41%","10.90秒",232,0,0,0,0,0,0,0,0,0,,,,
"个头只是第一眼，稳定度才是新手标准。#松茸 #松茸知识大全 #新鲜松茸 #野生松茸","export/UzFfBgAAxOmgXAUpAiHpk8zT4DCaBJlBr99gbq-7rzG45iekqg","2026/08/24","25.85%","15.12秒",882,0,1,0,0,0,0,0,0,0,,,,
"松茸怕长时间高温，别当普通菌处理。#松茸 #松茸做法 #松茸吃法大全 #野生松茸","export/UzFfBgAAxOqgeE14Sirpk8zT4DCay_6r1kC05uXNe1REd7S1tA","2026/08/24","17.53%","14.31秒",291,0,0,0,0,0,0,0,0,0,,,,
"松茸路上掉状态，问题常在冷链细节。#松茸 #松茸保存方法 #新鲜松茸 #松茸价格","export/UzFfBgAAxMigWFwdLj7pk8zT4DCa9S2yC4cYBXgYoQX9MTop1w","2026/08/24","14.18%","8.76秒",261,0,0,0,2,0,2,0,0,0,,,,
"清理松茸，别把泥和本味一起洗掉。#松茸 #松茸知识大全 #松茸保存方法 #野生菌","export/UzFfBgAAxPmgTGEsLgvpk8zT4DCawC04slneMJOexM3VI9O1IA","2026/08/24","27.82%","14.06秒",683,1,1,0,5,0,5,0,0,0,,,,
"干爽绒感和湿黏白毛，完全不是一回事。#松茸 #松茸保存方法 #野生松茸 #松茸知识大全","export/UzFfBgAAxOSgXBEwIhvpk8zT4DCa4d-Q_nlMErLP56bw1VOqaQ","2026/08/24","19.41%","11.59秒",237,0,0,0,2,0,2,0,0,0,,,,
"回温不是久放，鲜货会继续走状态。#松茸 #松茸保存方法 #松茸知识大全 #新鲜松茸","export/UzFfBgAAxPSgNA9Nchjuk8zT4DCaRRJn11ic7Fv1bux9n09RAA","2026/08/23","30.10%","13.17秒",411,0,1,0,0,0,0,0,0,0,,,,
"野生菌不是模型，真正危险在内部状态。#松茸 #松茸知识大全 #野生菌 #野生松茸","export/UzFfBgAAxMygIBV_PXfuk8zT4DCaY2IHzcUwgEKfr7s3SDGvXw","2026/08/23","29.14%","17.14秒",851,4,2,0,5,1,5,0,0,0,,,,
"今天不吃的松茸，千万别先碰水。#松茸 #松茸保存方法 #新鲜松茸 #松茸知识大全","export/UzFfBgAAxP2gYA4GO1buk8zT4DCaUzWGbsBWYeufL-vxF4s7pw","2026/08/23","41.14%","17.40秒",5450,7,8,0,16,4,16,0,0,0,,,,
"名字像不等于同货，别被三个字带偏。#松茸 #松茸知识大全 #野生松茸 #菌菇","export/UzFfBgAAxJWgYDIvWiLvk8zT4DCaOk1O_myVTW7GaWNiI-ww2Q","2026/08/23","37.62%","21.21秒",5123,10,16,1,24,7,24,0,0,0,,,,
"买鲜货别只看几斤，可食率更关键。#松茸 #松茸价格 #新鲜松茸 #松茸知识大全 #野生菌","export/UzFfBgAAxOOgUEh8Tmjvk8zT4DCaz7nCoGr8Ku65koYHDjafQw","2026/08/22","27.27%","17.10秒",451,0,1,0,5,0,5,0,0,0,,,,
"伞面会骗人，菌柄手感更暴露状态。#松茸 #松茸知识大全 #新鲜松茸 #野生菌 #松茸价格","export/UzFfBgAAxPGgIChaR3_vk8zT4DCawHnQAAQQsvqoUVxzjC-YkA","2026/08/22","17.69%","10.75秒",277,0,0,0,0,0,0,0,0,0,,,,
"清理松茸，最怕把香气层一起削走。#松茸 #松茸做法 #野生菌 #松茸知识大全 #松茸吃法大全","export/UzFfBgAAxP2gKFwgSkbvk8zT4DCaWUeF9TyUDnr_3TMN-yPd6A","2026/08/22","26.47%","13.85秒",407,0,1,0,2,0,2,0,0,0,,,,
"湿润不等于新鲜，回潮才最容易误判。#松茸 #松茸保存方法 #新鲜松茸 #松茸知识大全 #野生菌","export/UzFfBgAAxOygBDw0cC3sk8zT4DCaOtJXcqlaZPgxzSNNCT-a1A","2026/08/22","25.26%","11.54秒",384,0,1,0,3,0,3,0,0,0,,,,
"刚出冷链别只靠鼻子一秒判断。#松茸 #松茸知识大全 #新鲜松茸 #野生松茸 #野生菌","export/UzFfBgAAxPegEDYqBjPsk8zT4DCa7LjrYPDAXXidU0dClOYdQg","2026/08/22","20.39%","14.11秒",255,0,0,0,1,0,1,0,0,0,,,,
"开箱三看，能少踩很多鲜货坑。#松茸 #野生松茸 #野生菌 #广东","export/UzFfBgAAxOqgAFAzNFvsk8zT4DCaNZULqv1ycCjwokkE7Ay2kg","2026/08/21","31.29%","12.40秒",520,2,1,0,2,0,2,0,0,0,,,,
"新手挑松茸，先看这三个标准。#松茸 #松茸知识大全 #美食 #野生菌","export/UzFfBgAAxPSgfFEhPz_tk8zT4DCa2ZmCS1Pd0QQdaRqdjlRepQ","2026/08/21","26.83%","16.45秒",369,0,2,0,0,1,0,0,0,0,,,,
"清洗松茸别下手太狠，香气经不起久泡。#松茸 #新鲜松茸 #松茸知识大全 #野生菌","export/UzFfBgAAxPSgMAsIDAHik8zT4DCaZVOrFyQM7rFpQfXZAsbA2w","2026/08/20","28.71%","14.33秒",3643,21,18,0,58,3,58,0,0,0,,,,
"保存松茸，最怕把鲜货当干货放。#松茸 #野生松茸 #松茸知识大全 #美食","export/UzFfBgAAxOqgHFl0aB3ik8zT4DCaXo5wKH7bhEnkCQ5Qco3G2A","2026/08/20","37.82%","17.55秒",5906,9,11,0,30,1,30,0,0,0,,,,
"松茸贵，不只是少，是条件太难凑。#松茸 #野生菌 #松茸知识大全 #美食","export/UzFfBgAAxM-gOFkNTHLik8zT4DCaPVfYP3_PSSKXtgL4itGMoQ","2026/08/20","36.02%","15.12秒",1388,2,3,0,4,0,4,0,0,0,,,,
"清汤想鲜，切开的时间比你想的更要命。#松茸 #新鲜松茸 #松茸吃法大全 #野生菌","export/UzFfBgAAxMygOB1Fbmfjk8zT4DCaiDmBJTXaXW0e251-fDc17g","2026/08/19","30.13%","13.99秒",477,0,1,0,4,0,4,0,0,0,,,,
"看着想压出焦香，其实是在压掉松茸香。#松茸 #野生松茸 #美食 #松茸吃法大全","export/UzFfBgAAxO6gGG0aAnXjk8zT4DCaVcgprXLbvFsFgnWafENQ4A","2026/08/19","23.54%","13.00秒",378,0,1,0,4,0,4,0,0,0,,,,
"切片不是越薄越高级，香气散了就白贵。#松茸 #新鲜松茸 #松茸吃法大全 #菌菇美食","export/UzFfBgAAxOagRER9GV3jk8zT4DCafsA5cqdaiMimMOJwOlOGNQ","2026/08/19","34.54%","16.25秒",1048,1,0,0,3,0,3,0,0,0,,,,
"怕麻烦一锅煮，最后好坏都没了。#松茸 #新鲜松茸 #野生菌 #菌菇美食","export/UzFfBgAAxP-gQB5YU3vgk8zT4DCaLNakUGf-mjVeJha7pDN1MQ","2026/08/18","40.69%","17.67秒",7207,7,10,1,32,3,32,0,0,0,,,,
"不是越勤快越好，松茸怕你一直动。#松茸 #野生松茸 #松茸吃法大全 #野生菌","export/UzFfBgAAxOSgaDIRLkDgk8zT4DCaeJJvC1QpDfUNgsCZy-u1dw","2026/08/18","38.77%","16.07秒",4939,8,16,1,42,0,42,0,0,0,,,,
"清蒸不是装得住就好，盘子选错也会亏。#松茸 #松茸吃法大全 #滋元堂 #野生菌","export/UzFfBgAAxOigOGBjOk7gk8zT4DCaT9-FWKxGGwReRFX3UmfK8g","2026/08/18","29.26%","13.13秒",1080,0,2,0,3,1,3,0,0,0,,,,
"汤不是越翻越鲜，松茸最怕被煮老。#松茸 #松茸吃法大全 #野生菌 #菌菇美食","export/UzFfBgAAxOKgbHl_dSnmk8zT4DCap05HYHWj2-PBDdrtJqcTtA","2026/08/17","36.00%","19.88秒",22595,27,59,1,343,27,343,0,0,0,,,,
"提前切好摆着，松茸先输一半。#松茸 #新鲜松茸 #菌菇美食 #野生菌","export/UzFfBgAAxOegcBQVBD_mk8zT4DCaF8nT9ykSufCl31Yv4aP_Hg","2026/08/17","34.91%","14.66秒",7377,2,8,0,42,2,42,0,0,0,,,,
"盐放太早，不是在入味，是在逼水。#松茸 #野生松茸 #野生菌 #菌菇美食","export/UzFfBgAAxPygUBhmbh_nk8zT4DCagiqpIsg0qf-AxJO_n0iJmg","2026/08/16","34.08%","13.43秒",2274,1,4,0,11,1,11,0,0,0,,,,
"根部不是刮越白越干净。#松茸 #新鲜松茸 #野生菌 #美食","export/UzFfBgAAxOWgYHQKS0Pnk8zT4DCahFAEWtSnhEKrsu6y14CW1Q","2026/08/16","35.28%","17.89秒",2740,4,2,0,12,1,12,0,0,0,,,,
"清蒸看着简单，铺错一盘就没精神。#松茸 #松茸吃法大全 #野生菌 #菌菇美食","export/UzFfBgAAxO2gfEAVAnjkk8zT4DCaY9kdfoI920mPAk8o2tu0Tw","2026/08/15","29.49%","16.42秒",3069,8,7,1,12,2,12,0,0,0,,,,
"不是不会煎，是第一步就把锅变成蒸笼。#松茸 #松茸处理 #野生菌 #滋元堂","export/UzFfBgAAxM2gbEd2T13kk8zT4DCayohmGJLPYHj9bNKBudnu3Q","2026/08/15","27.25%","20.08秒",11892,18,24,2,101,6,101,0,0,0,,,,
"松茸不是切越薄越赚，厚度决定口感。#松茸 #广东美食 #野生菌 #野生松茸","export/UzFfBgAAxPqgeB8CZ1Tlk8zT4DCaXlu8f4IPv5anMNe8lhxkKw","2026/08/14","30.92%","18.50秒",11976,19,22,0,62,10,62,0,0,0,,,,
"开箱第一步错了，香气先被水汽闷住。#松茸 #野生菌 #新鲜松茸 #菌菇美食","export/UzFfBgAAxPSgRB8xfyeajMzT4DCabX734KSqE1F_NXMT6OJyog","2026/08/14","28.64%","13.20秒",2129,1,0,0,12,1,12,0,0,0,,,,
"不讲步骤，只看松茸蒸汽冲出来的香。#松茸美食 #野生菌 #滋元堂","export/UzFfBgAAxMSgZC0xATubjMzT4DCasFvpqQ9AOXA6TVnt3x9qlw","2026/08/13","15.38%","9.32秒",819,0,0,0,0,0,0,0,0,0,,,,
"清蒸松茸不是一盘越满越好，铺开才见香。#松茸吃法 #清蒸松茸 #野生菌","export/UzFfBgAAxOCgHHBWPmiYjMzT4DCaQOtx7QDqe6PZs8Sxsw2Ahg","2026/08/12","24.80%","14.90秒",1601,3,1,0,14,1,14,0,0,0,,,,
"成熟度一变，松茸的香气窗口也在变。#松茸挑选 #买菜避坑 #野生菌","export/UzFfBgAAxJSgXGUudUiZjMzT4DCazWb0n57xG6uCXqPsksbllA","2026/08/11","39.40%","18.38秒",18093,24,39,3,36,10,36,0,0,0,,,,
"专注野生菌贸易
如有需要 可以扫码#夜深了","export/UzFfBgAAxMygJBpIVRafjMzT4DCa4hR53Kb00RVENvWPDUzICQ","2026/08/10","-","8.35秒",31,0,0,0,0,0,0,0,0,0,,,,
"伞再漂亮，切口发黄也可能亏。#松茸挑选 #买菜避坑 #野生菌","export/UzFfBgAAxPugXCwyYSSTjMzT4DCaKFV_j5iDffLTtGgdeeiPfg","2026/08/07","33.78%","16.44秒",2389,3,6,0,2,1,2,0,0,0,,,,
"数量只是第一眼，状态才是入口。#松茸识货 #山珍挑选 #鲜货","export/UzFfBgAAxMqgAE1deQCTjMzT4DCa3o4irdlzbaa2ws_uba88qg","2026/08/07","23.56%","10.81秒",921,1,1,0,1,1,1,0,0,0,,,,
"水灵不等于新鲜，干爽紧实才更像好状态。#松茸识货 #山珍挑选 #鲜货","export/UzFfBgAAxPegGC1xBz2QjMzT4DCaqQ0_fPlgxq5m7b9PJiMtqg","2026/08/06","25.75%","14.95秒",1099,0,0,0,0,0,0,0,0,0,,,,
"好松茸不是香到冲鼻，而是清爽有山林气。#松茸挑选 #野生菌 #买菜避坑","export/UzFfBgAAxMagRAR4Jw2QjMzT4DCaXhuyKKUle7kPOdkJc5t-NA","2026/08/06","36.15%","15.54秒",1654,2,5,0,2,1,2,0,0,0,,,,
"听介绍不如问时间，离土多久最关键。#松茸挑选 #买菜避坑 #山珍
","export/UzFfBgAAxM2gGGw8E2uRjMzT4DCa2PxxBBMQL4GS2FObQudZeA","2026/08/05","26.57%","15.65秒",956,0,2,0,0,0,0,0,0,0,,,,
"松茸规格好只是开始，到手能吃才算值。#松茸 #买菜技巧 #促销 #时令鲜","export/UzFfBgAAxOKgKGhRK2iVjMzT4DCa-_h7o4In7gpt1CmzRisTVg","2026/08/02","29.61%","14.95秒",672,1,2,0,0,1,0,0,0,0,,,,
"买松茸不是先抢便宜，是先安排哪顿吃。#松茸 #促销 #野生菌 #橱窗好物","export/UzFfBgAAxPagNAdQG1GKjMzT4DCaG0bO4K9vbb60wxCjQtNX0g","2026/08/01","18.18%","9.94秒",341,0,0,0,0,1,0,0,0,0,,,,
"松茸不是囤得越多越赚，吃到香才算。#松茸 #促销 #野生菌 #山珍","export/UzFfBgAAxPKgfC00QySIjMzT4DCasB_eQmJXvXyJlbfiZ2h3xw","2026/07/31","27.24%","15.94秒",514,2,2,0,0,1,0,0,0,0,,,,
"活动可以看，但先问清楚再下手。#松茸 #时令鲜 #野生菌 #橱窗好物","export/UzFfBgAAxMKgTDdlajKIjMzT4DCaPLU7Jp09N74jj97rzBb42Q","2026/07/31","13.57%","13.00秒",339,1,1,0,0,0,0,0,0,0,,,,
"规格只是开始，今晚吃不吃才决定值不值。#松茸 #野生菌 #买菜技巧 #时令鲜","export/UzFfBgAAxMageBBVEjmJjMzT4DCamNhbfOA6g0MVAv-sUyk3vQ","2026/07/30","16.75%","10.39秒",382,0,1,0,0,0,0,0,0,0,,,,
"松茸活动可以看，但先想清楚怎么吃。#松茸 #促销 #野生菌 #橱窗好物","export/UzFfBgAAxMqgFE5bRw-JjMzT4DCakqVWtENa9tjSR0JJMN-GsA","2026/07/30","16.39%","11.51秒",359,0,0,0,0,0,0,0,0,0,,,,
"好价要配好状态。#松茸促销 #买菜避坑 #山货","export/UzFfBgAAxMWgXENnImCOjMzT4DCacz2qk7ZensJDyPRSDoh54w","2026/07/29","18.67%","8.35秒",391,0,0,0,0,0,0,0,0,0,,,,
"促销可以看，分量别贪。#松茸 #橱柜好物 #美食推荐","export/UzFfBgAAxOGgQGZncWuOjMzT4DCaUpDgl5QOurN66UxPy-TMcw","2026/07/29","10.91%","8.13秒",394,0,0,0,0,0,0,0,0,0,,,,
"鲜香有时间，囤多反而亏。#松茸 #山货 #橱柜好物","export/UzFfBgAAxMCgKAJbSECPjMzT4DCaWd_3M5x5WveUUOURwwDdVg","2026/07/28","13.27%","7.76秒",211,0,1,0,0,0,0,0,0,0,,,,
"便宜不是目的，吃对才算值。#松茸 #促销 #买菜避坑","export/UzFfBgAAxPagKHEFFlSPjMzT4DCaGvXf_HA78i5getIESjmCeg","2026/07/28","13.18%","7.05秒",220,0,0,0,0,0,0,0,0,0,,,,
"第一次买山珍，先用一顿饭验证，比一上来囤大份更稳。#松茸 #山珍试吃 #松茸促销","export/UzFfBgAAxOmgVCsDEGmCjMzT4DCakkG4m97QBUaiU9lMrt4jRw","2026/07/26","15.69%","8.91秒",663,1,1,0,0,0,0,0,0,0,,,,
"买之前先想怎么吃，比盯着图片更实际。#松茸 #山珍到家 #厨房搭配","export/UzFfBgAAxOWgCDVDMEiDjMzT4DCaJ5PyK0ow9hvowMBh1BqVuQ","2026/07/25","20.07%","12.75秒",807,0,2,0,1,1,1,0,0,0,,,,
"菌汤河粉不是把贵菌倒进去就赢，汤、粉、下锅顺序都要让路给鲜。#荔枝菌 #菌汤河粉 #广东细路","export/UzFfBgAAxPygYBUwXl2ujMzT4DCa4w_3E43cDMIdV8T5KWYUUA","2026/07/04","25.57%","14.06秒",262,0,0,0,0,0,0,0,0,0,,,,
"香港人过关都要抢的鲜，你在家却买不到真的？#荔枝菌 #香港 #回乡","export/UzFfBgAAxOigcBc3HievjMzT4DCafxBKAy9NiBHJMKhZie1s2w","2026/07/04","23.28%","12.95秒",1843,1,3,0,2,1,2,0,0,0,,,,
"有人觉得拿荔枝菌哄饭太夸张，真正关键是味道干净、熟透好入口。#荔枝菌 #孩子吃饭 #家常菜","export/UzFfBgAAxJSgdGccIyisjMzT4DCa52q9gDGnPDvBLU4JDVTtoQ","2026/07/03","15.77%","12.23秒",799,0,1,0,0,0,0,0,0,0,,,,
"九成买家分不清，你确定自己不是那九成？#荔枝菌 #冒充 #揭秘","export/UzFfBgAAxPOgSFcSNiusjMzT4DCaA6ZmssbpGkJrWUDRTcvkNQ","2026/07/03","30.90%","20.07秒",2456,8,4,1,12,2,12,0,0,0,,,,
"不爱吃饭的孩子不是靠讲道理哄住的，入口舒不舒服，他最诚实。#荔枝菌 #饭霸养成 #家庭饭桌","export/UzFfBgAAxMagRFItWzKsjMzT4DCaqq_etX6zIjgUUwEChZqRLQ","2026/07/03","11.39%","10.13秒",527,0,0,0,1,0,1,0,0,0,,,,
"有人质疑荔枝菌哄饭太夸张，关键不是神奇，是味道干净、处理舒服。#荔枝菌 #孩子吃饭 #家常菜
","export/UzFfBgAAxPagBEYpawitjMzT4DCauUIMoxLTy8R9Qv6166ZPzA","2026/07/02","18.18%","19.05秒",1122,1,1,0,0,0,0,0,0,0,,,,
"越懂吃的人，越不敢给荔枝菌加料。#荔枝菌 #老广吃法 #质疑","export/UzFfBgAAxMagAHYNfWytjMzT4DCaihjS2LocY53silU97ald2g","2026/07/02","15.22%","13.30秒",644,0,3,0,1,0,1,0,0,0,,,,
"幼儿园妈妈问荔枝菌怎么做，不是跟风，是孩子真的愿意多吃两口。#荔枝菌 #饭霸养成 #妈妈群
","export/UzFfBgAAxMWgBBoJOXetjMzT4DCaCkwYZJF-8PG5gmkI3q0FwQ","2026/07/02","16.16%","13.97秒",922,0,1,0,1,0,1,0,0,0,,,,
"市面上九成""荔枝菌""都是冒牌，你踩过坑吗？#荔枝菌 #真假辨别","export/UzFfBgAAxOGgXFhfWxiijMzT4DCa2fMQaNdPU5Vfo7LBWIUVZA","2026/07/01","19.29%","15.69秒",1130,1,4,0,2,0,2,0,0,0,,,,
"有人不信小朋友会主动吃菌，关键不是劝，是做法别吓人。#荔枝菌 #小朋友吃饭 #家常菜
","export/UzFfBgAAxOKgcBsFAnCijMzT4DCagqSRCsrMzwelASzKyaub6w","2026/07/01","25.59%","11.41秒",1606,0,0,0,0,0,0,0,0,0,,,,
"从来不吃菌的小朋友主动要，饭桌上那一下比夸奖更真实。#荔枝菌 #家庭饭桌 #饭霸养成
","export/UzFfBgAAxPKgVGtqQn-ijMzT4DCaoKB6SbVk38H6z3kh-FvZaA","2026/07/01","21.70%","11.83秒",977,4,3,0,1,0,1,0,0,0,,,,
