"视频描述","视频ID","发布时间","完播率","平均播放时长","播放量","推荐","喜欢","评论量","分享量","关注量","转发聊天和朋友圈","设为铃声","设为状态","设为朋友圈封面","企微链接点击次数","企微链接点击人数","添加到通讯录次数","添加到通讯录人数"
"鲜货最怕的，是路上少了保护。#松茸 #新鲜松茸 #野生菌 #菌菇","export/UzFfBgAAxOqCdGs-CD7mk8zT4DCa5Iq396p9OwcMldbLiiALDQ","2026/08/17","26.25%","12.85秒",1021,1,2,0,0,0,0,0,0,0,,,,
"第一次买松茸，买刚好比买热闹更值。#松茸 #新鲜松茸 #野生菌 #当季美食#广东","export/UzFfBgAAxOKCCDtTUhPnk8zT4DCaDD3eH445AuqjnqSSRZuD3w","2026/08/16","32.55%","14.22秒",2387,1,3,0,0,1,0,0,0,0,,,,
"会问的人，少买很多闷箱菌。#松茸 #新鲜松茸 #野生菌 #美食","export/UzFfBgAAxJaCDDg-dHbnk8zT4DCak64JC1BzWd9RhWuPNw7guQ","2026/08/16","28.17%","12.09秒",1835,1,1,0,1,0,1,0,0,0,,,,
"单价好看不够，到厨房还香才算赢。#松茸 #野生菌 #野生松茸 #新鲜松茸 ","export/UzFfBgAAxJaCVGcfcn7kk8zT4DCaiRdH-QNJdtg9rJUEqvHCjQ","2026/08/15","41.44%","16.75秒",3537,6,7,0,4,1,4,0,0,0,,,,
"尝鲜小份更稳，先看家里人爱不爱。#松茸 #野生菌 #松茸价格 #滋元堂","export/UzFfBgAAxOuCQCRPSSblk8zT4DCa9szzmQOSooqoPiSO0RYV_A","2026/08/15","20.58%","14.36秒",792,0,1,0,0,1,0,0,0,0,,,,
"促销可以看，但别把时效和水汽漏掉。#松茸 #野生菌 #野生松茸 #菌菇美食","export/UzFfBgAAxPqCSBIeGVHlk8zT4DCaK4UoFsj2_k7E6NqfR-ZyVg","2026/08/14","26.04%","12.83秒",1133,1,0,0,0,0,0,0,0,0,,,,
"采、分、预冷、冷链，每一步都在保香气。#松茸 #野生菌 #产地直发 #冷链","export/UzFfBgAAxPSCIHJFRSWajMzT4DCa1-aheMy33tw1rqCv_McbuA","2026/08/14","25.19%","17.99秒",905,2,0,0,0,0,0,0,0,0,,,,
"7到9月尝鲜期，买对节奏比凑单重要。#松茸#野生菌#滋元堂","export/UzFfBgAAxPSCOFV4TgObjMzT4DCahjeXlVVSY0xuHzOT2Gy_ag","2026/08/13","25.93%","14.81秒",864,0,0,0,0,0,0,0,0,0,,,,
"从山头到厨房，每一步都在和香气抢时间。#松茸 #顺丰冷链 #山珍","export/UzFfBgAAxP-CZHBcJ26YjMzT4DCaTJqVLsb78vI_2EB1b5pi9w","2026/08/12","31.19%","13.49秒",1712,0,2,0,1,0,1,0,0,0,,,,
"松茸贵不只看名字，要看山里条件够不够狠。#松茸 #野生菌 #山珍揭秘","export/UzFfBgAAxMyCcG1QJFWZjMzT4DCau7DRVvdlkfFgcVDjseDMJQ","2026/08/11","24.65%","11.29秒",1550,1,1,0,1,1,1,0,0,0,,,,
"便宜几十块，到手没香就不叫赢。#松茸 #野生菌 #橱窗好物","export/UzFfBgAAxOCCHBh0OSCTjMzT4DCaz3WyCI0Aqfd4akmRNOdO5A","2026/08/07","25.20%","13.27秒",2476,3,4,0,2,1,2,0,0,0,,,,
"鲜松茸不是干货，安排不上就会亏香气。#松茸促销 #当季鲜货 #橱窗好物","export/UzFfBgAAxP6CVDgJRAGTjMzT4DCalldtylA9v4jt3D1tVCfz3A","2026/08/07","29.04%","11.70秒",1405,0,1,0,1,0,1,0,0,0,,,,
"贵食材最怕手太忙，简单才敢见本味。#松茸美食 #野生菌吃法 #厨房技巧","export/UzFfBgAAxJOCPANeOT-QjMzT4DCaRWKRGC-6PAENoiG2dD1Yug","2026/08/06","18.65%","11.09秒",654,0,1,0,0,0,0,0,0,0,,,,
"松茸活动要看价格，更要看到手还能不能香。#松茸促销 #当季鲜货 #橱窗好物","export/UzFfBgAAxJWCKFd-AAKQjMzT4DCaKJ74kvKrWdj_Dgtdmj7ZwQ","2026/08/06","18.80%","9.76秒",399,0,0,0,0,0,0,0,0,0,,,,
"煎到焦香才停，松茸可能已经亏了。#松茸清煎 #野生菌吃法 #厨房技巧
","export/UzFfBgAAxP2CcE1EGGiRjMzT4DCay8o-2Et0fdkJAT6DP-87vQ","2026/08/05","20.32%","10.78秒",865,0,0,0,1,0,1,0,0,0,,,,
