"视频描述","视频ID","发布时间","完播率","平均播放时长","播放量","推荐","喜欢","评论量","分享量","关注量","转发聊天和朋友圈","设为铃声","设为状态","设为朋友圈封面","企微链接点击次数","企微链接点击人数","添加到通讯录次数","添加到通讯录人数"
"断口越多，越要算可食率。#松茸 #松茸价格 #新鲜松茸 #滋元堂","export/UzFfBgAAxKygFB8RQHvrk8zT4DCaL8LV74-bmq9CZ0M1ko9o0Q","2026/08/25","27.40%","13.32秒",416,0,0,0,0,0,0,0,0,0,,,,
"削得干净，不一定等于处理得高级。#松茸 #松茸知识大全 #新鲜松茸 #菌菇","export/UzFfBgAAxKGgJH50VE_rk8zT4DCa1ro4rwe6jJ_ECFY_kFm6bQ","2026/08/25","29.04%","13.83秒",303,0,0,0,2,0,2,0,0,0,,,,
"真松茸难人工种，差距往往藏在状态里。#松茸 #野生松茸 #松茸知识大全 #菌菇","export/UzFfBgAAxK6gMCk4TSLok8zT4DCaAJyFzf4lGlIuMOc1OcgdrQ","2026/08/25","35.94%","18.58秒",843,1,1,0,0,0,0,0,0,0,,,,
"包装好看，只能说明会装，不说明会选。#松茸 #松茸价格 #滋元堂 #野生松茸","export/UzFfBgAAxNynJHwxQgPok8zT4DCaU5vNKFf1ZsnhXLTJRf_3UQ","2026/08/25","15.26%","21.16秒",249,1,0,0,0,0,0,0,0,0,,,,
"灯光会替松茸遮住很多状态。#松茸 #松茸知识大全 #新鲜松茸 #野生菌","export/UzFfBgAAxK6gDB5PXRnok8zT4DCaZ15q-oQXn2WcKVCyGX5rsw","2026/08/25","13.73%","13.02秒",233,0,1,0,0,0,0,0,0,0,,,,
"香气能遮一秒，断面会说真话。#松茸 #松茸知识大全 #新鲜松茸 #野生菌","export/UzFfBgAAxKqgWExraDHpk8zT4DCaL4GlxOnJ3IPN6OI3fmxr3Q","2026/08/24","25.81%","17.03秒",553,0,2,0,2,0,2,0,0,0,,,,
"混装最怕的不是大小，是等级悄悄混进去。#松茸 #松茸知识大全 #松茸价格 #野生菌","export/UzFfBgAAxMKnUBAtJATpk8zT4DCaAGsowd68GJtq6OQq4E0GsA","2026/08/24","22.81%","11.18秒",228,0,0,0,0,0,0,0,0,0,,,,
"伞下褶皱，往往比正面照片更会说真话。#松茸 #松茸知识大全 #野生松茸 #菌菇","export/UzFfBgAAxNGnUBNdIgLpk8zT4DCaD9skLxIiDLB2mzUobjIPRg","2026/08/24","26.01%","13.55秒",323,1,2,0,2,0,2,0,0,0,,,,
"上层漂亮不代表整箱稳，底层才会露馅。#松茸 #松茸知识大全 #松茸保存方法 #野生菌","export/UzFfBgAAxKqgEGNJZRzpk8zT4DCaHCa54yVm22-ZFmB6PKgMWA","2026/08/24","28.36%","14.40秒",476,0,2,0,0,0,0,0,0,0,,,,
"紧伞只是加分项，不是新鲜保证书。#松茸 #新鲜松茸 #野生松茸 #松茸知识大全","export/UzFfBgAAxMqndA8STwDuk8zT4DCa2D8hTNTda4uopyPBqny-lw","2026/08/23","34.35%","21.99秒",4709,2,5,0,13,3,13,0,0,0,,,,
"鲜松茸怕堆压，包装方式也藏着损耗。#松茸 #新鲜松茸 #松茸价格 #松茸知识大全","export/UzFfBgAAxK6gGCxuRhPuk8zT4DCaY8wFaPTaydjhz2kyotPBBg","2026/08/23","19.05%","9.98秒",294,0,1,0,0,0,0,0,0,0,,,,
"修根漂亮不够，切口才会说真话。#松茸 #新鲜松茸 #野生松茸 #松茸知识大全","export/UzFfBgAAxMynHCcDLBnuk8zT4DCaPlcbd62h8vZhhVtjjR22vg","2026/08/23","26.88%","15.88秒",346,0,0,0,2,0,2,0,0,0,,,,
"鲜货每天不同，当天实拍才有参考价值。#松茸 #新鲜松茸 #野生松茸 #松茸知识大全","export/UzFfBgAAxNOnODBOX0juk8zT4DCahcPtUJd6dp9Mvi_9UwDjxg","2026/08/23","22.95%","12.76秒",244,0,0,0,0,0,0,0,0,0,,,,
"水灵未必好，湿黏才更要警惕。#松茸 #新鲜松茸 #野生菌 #松茸知识大全","export/UzFfBgAAxM6nICpRYiPvk8zT4DCaPkNjQ4AeruhicxyZUJJjxQ","2026/08/23","28.67%","16.33秒",980,1,2,0,2,1,2,0,0,0,,,,
"别只看地址，路上时间才会偷走状态。#松茸 #新鲜松茸 #松茸价格 #松茸知识大全","export/UzFfBgAAxNWnYH8zeGjvk8zT4DCa-r4gcUKMTP7kvvVfmLc2wg","2026/08/22","18.21%","9.98秒",280,0,1,0,4,0,4,0,0,0,,,,
"大朵有排面，但入口不一定赢。#松茸 #松茸价格 #野生松茸 #松茸知识大全","export/UzFfBgAAxPGnJDoVbXfvk8zT4DCaFs4Ra8SEzFdLBnR94ZjQ6Q","2026/08/22","36.72%","16.38秒",1821,1,1,0,2,0,2,0,0,0,,,,
"冷链要稳，不是把鲜货闷在水汽里。#松茸 #新鲜松茸 #野生菌 #松茸知识大全","export/UzFfBgAAxManaH1deEXvk8zT4DCa_IUmhph53RawJDEh4G3HPw","2026/08/22","30.17%","13.87秒",348,0,1,0,0,0,0,0,0,0,,,,
"特级两个字不够，细节标准更重要。#松茸 #松茸价格 #新鲜松茸 #松茸知识大全","export/UzFfBgAAxK6gYDwqblHvk8zT4DCaREg-oZyZmp8pbNzYor3rCg","2026/08/22","36.73%","14.30秒",550,1,2,0,1,1,1,0,0,0,,,,
"鲜松茸的香应该清，不该闷到发冲。#松茸 #松茸知识大全 #野生松茸 #野生菌","export/UzFfBgAAxNunCENCTzjsk8zT4DCaHgBD1xT2zZ4EhvqOxnyeFg","2026/08/22","35.06%","18.59秒",1409,1,2,0,1,1,1,0,0,0,,,,
"鲜货买的是到手状态，不只是照片好看。#松茸 #松茸知识大全 #野生菌 #广东","export/UzFfBgAAxPSnMBhxHVrsk8zT4DCaSCglo3X1pVCJxP9otJ6IFw","2026/08/21","23.23%","12.48秒",297,0,0,0,0,0,0,0,0,0,,,,
"真假别靠标题判断，先看品相和断面。#松茸 #松茸知识大全 #野生菌 #当季美食","export/UzFfBgAAxN2nKGt8bzHtk8zT4DCarTP4R9y63eCB-ymVAmeRXw","2026/08/21","43.15%","23.16秒",5240,11,17,1,28,8,28,0,0,0,,,,
"松茸不是越白越高级，状态要看细节。#松茸 #野生菌 #松茸知识大全 #滋元堂","export/UzFfBgAAxKOgBDwgUx3ik8zT4DCakwYHpqbW1USzZF-m8EkOPQ","2026/08/20","19.14%","11.45秒",538,1,1,0,0,0,0,0,0,0,,,,
"开箱三看，能少踩很多鲜货坑。#松茸 #野生松茸 #野生菌 #广东","export/UzFfBgAAxMmnNClfWWPik8zT4DCaSvPnSJKEGVC4iou-Gfltag","2026/08/20","32.54%","12.87秒",1226,0,0,0,3,0,3,0,0,0,,,,
"同样叫鲜松茸，差别常常不在名字上。#松茸 #新鲜松茸 #野生菌 #美食","export/UzFfBgAAxKmgSBQSGGbjk8zT4DCa-CNdC-11nJvf03QUCJOiFg","2026/08/19","36.87%","18.32秒",3602,5,7,0,7,1,7,0,0,0,,,,
"越白越好看，但好看不一定好吃。#松茸 #新鲜松茸 #美食 #野生菌","export/UzFfBgAAxKOgAChOM0bjk8zT4DCaHz90Dgf9OMT9A5XuXgfXfA","2026/08/19","33.37%","13.71秒",1762,0,0,0,0,0,0,0,0,0,,,,
"野生松茸不是货架摆件，真正该怕的是这三种状态。#松茸 #野生菌 #松茸知识大全 #美食","export/UzFfBgAAxK-gYEIEU1Ljk8zT4DCa4yQ8aqe_WkpO-ly5w3V6fw","2026/08/19","38.59%","17.48秒",31117,157,108,7,324,40,323,1,0,0,,,,
"开箱别只拍第一层，下面才看出闷不闷。#松茸 #野生松茸 #野生菌 #美食","export/UzFfBgAAxKCgRB8aY0bgk8zT4DCaKlzft5cHI7F8rEj2er0uyA","2026/08/18","25.13%","10.87秒",971,0,0,0,0,0,0,0,0,0,,,,
"野生松茸不是模型，判断别只看颜值。#松茸 #野生菌 #新鲜松茸 #美食","export/UzFfBgAAxPenCF9Sb0Pgk8zT4DCaFoxckRhH2s94fqz8BGLfeQ","2026/08/18","41.24%","15.74秒",4422,7,7,0,9,1,9,0,0,0,,,,
"别被表面吓住，要看泥的状态。#松茸 #新鲜松茸 #野生菌 #菌菇美食","export/UzFfBgAAxMynBEUUIE_gk8zT4DCabVLCYMX7Dbb3U0HopBZnmg","2026/08/18","32.44%","14.01秒",7766,11,15,2,32,4,32,0,0,0,,,,
"别只盯颜值，野生鲜货要闻状态。#松茸 #新鲜松茸 #野生菌 #菌菇美食","export/UzFfBgAAxN2nMAUpUTfmk8zT4DCa_fFhQ8sTQUtMeLY2uZ6YxA","2026/08/17","22.24%","19.98秒",679,0,2,0,2,0,2,0,0,0,,,,
"会买的人，不只听名字。#松茸 #野生松茸 #野生菌 #菌菇美食 #滋元堂","export/UzFfBgAAxKCgXH5VPj3mk8zT4DCaRRXgByY2iWJWQOf0ihFm5w","2026/08/17","20.89%","11.02秒",292,0,1,0,0,0,0,0,0,0,,,,
"便宜可能省掉的，是分拣那道关。#松茸 #野生松茸 #野生菌 #新鲜松茸","export/UzFfBgAAxMynUBY2FB_nk8zT4DCaSyFVwjPanVJppvC9X02HtA","2026/08/16","22.40%","13.34秒",817,1,1,0,1,0,1,0,0,0,,,,
"冷链保的不是高级感，是到手状态。#松茸 #野生菌季节 #野生菌 #当季鲜货","export/UzFfBgAAxKCgKFoKBkXnk8zT4DCax2vRwK5jxR-y_01Uijewdw","2026/08/16","23.47%","11.43秒",622,0,2,0,2,0,2,0,0,0,,,,
"别只听名词，要看它到手还有没有状态。#松茸 #野生菌 #野生松茸 #滋元堂","export/UzFfBgAAxPCnUH92JX7kk8zT4DCaQT7EIoRXLGdENVnJul23xw","2026/08/15","28.14%","15.27秒",1919,1,1,1,3,0,3,0,0,0,,,,
"好松茸不是冲鼻，是清爽。#松茸 #野生菌 #滋元堂 #山珍海味","export/UzFfBgAAxPGndFMKRlvkk8zT4DCa42LNE8fhp0jyAuCCyGG6lA","2026/08/15","31.68%","14.37秒",1528,1,1,0,1,1,1,0,0,0,,,,
"卖相漂亮只是第一眼，到嘴里有香才算数。#松茸 #松茸价格 #野生菌 #菌菇美食","export/UzFfBgAAxNOnbGxDWVzlk8zT4DCakk5tD_Y78h79CDXqHfTgSw","2026/08/14","39.12%","18.62秒",1410,1,2,1,0,1,0,0,0,0,,,,
"看着干净，不代表吃着更香。#松茸 #野生松茸 #野生菌 #滋元堂","export/UzFfBgAAxPSnUBcqZCSajMzT4DCaXUqA3s9ajZnMstyEiXWu7g","2026/08/14","34.41%","14.98秒",5671,8,7,0,94,5,94,0,0,0,,,,
"松茸下锅的声音，比解释更会种草。#松茸美食 #广东美食 #野生菌","export/UzFfBgAAxMqnGBAPOgGbjMzT4DCazdvWjU_MEvzPT7neeiXCKg","2026/08/13","17.18%","11.96秒",547,0,1,0,2,0,2,0,0,0,,,,
"鲜货不是囤货，买之前先算这一顿。#松茸促销 #当季鲜货 #橱窗好物","export/UzFfBgAAxM-nVF8jVmGYjMzT4DCa0SHgdLljWcCx3nI7jMn4fg","2026/08/12","25.34%","14.37秒",947,1,1,0,0,0,0,0,0,0,,,,
"松茸做得好不好，有时输在这一把盐。#松茸做法 #厨房避坑 #山珍","export/UzFfBgAAxK6gQGE5ZWiYjMzT4DCaDUov6SwiZNl1CC75M_FbNw","2026/08/12","29.72%","12.93秒",2140,4,5,0,3,1,3,0,0,0,,,,
"鲜松茸怕闷，开箱这一步很多人漏掉。#松茸保存 #鲜货处理 #山珍","export/UzFfBgAAxK6gCGRkDVSZjMzT4DCartjqzJ8CB6scQUuDuEVQ_w","2026/08/11","43.09%","20.04秒",39138,45,74,0,271,30,271,0,0,0,,,,
"专注野生菌贸易
如有需要高品质野生菌
可以扫码#野生菌","export/UzFfBgAAxK6geBUXZxafjMzT4DCaVxR9W7vDBA5nOGG0EtX4-g","2026/08/10","-","5.78秒",77,0,1,0,1,0,1,0,0,0,,,,
"贵食材不是靠手速赢，是靠忍住。#松茸美食 #野生菌吃法 #厨房技巧","export/UzFfBgAAxKCgWHl7dySTjMzT4DCaXTms61L9yyj8UrDU-g5ckg","2026/08/07","26.58%","21.09秒",1121,1,0,0,0,0,0,0,0,0,,,,
"清蒸不是越久越香，刚好才高级。#松茸吃法 #清蒸松茸 #厨房技巧","export/UzFfBgAAxNKnaCBhGTqTjMzT4DCaF74FP0jJAE7AScL3JyTFKQ","2026/08/07","23.52%","12.21秒",961,1,1,0,0,0,0,0,0,0,,,,
"松茸清汤要见香，不是把汤底做成主角。#松茸吃法 #清汤松茸 #高级食材","export/UzFfBgAAxMOncEdxcACQjMzT4DCaw8O8MuFs6sIZ8YalLv3W5Q","2026/08/06","36.03%","14.95秒",5250,4,17,0,30,6,30,0,0,0,,,,
"好松茸不适合久摆，最好当天就上桌。#松茸 #送礼心意 #当季山珍
","export/UzFfBgAAxKygfEs-ZmuRjMzT4DCaxohSxIWus_NeCZ0OOgrvCQ","2026/08/05","23.71%","11.78秒",1745,0,2,0,0,0,0,0,0,0,,,,
"好山珍不只是拿得出手，还要吃得明白。#松茸 #送礼 #野生菌 #高端食材","export/UzFfBgAAxN-nEAc1XGWVjMzT4DCawkYRVibv1I1IKYEP918pNg","2026/08/02","20.61%","12.10秒",757,1,1,0,0,0,0,0,0,0,,,,
"松茸最怕被客气地放一放，香气不等人。#松茸 #送礼 #时令鲜 #山珍","export/UzFfBgAAxMGnZFkGHUuKjMzT4DCaUyXfqkBYmvqv6UpWN44oJA","2026/08/01","25.33%","13.56秒",983,1,0,0,1,1,1,0,0,0,,,,
"礼盒好看不够，里面要有精神。#松茸 #送礼 #野生菌 #高端食材","export/UzFfBgAAxMenMEUDBSCIjMzT4DCaKUaUGVwiOqFcl-7uhGMuhg","2026/07/31","22.60%","11.81秒",884,0,2,0,0,0,0,0,0,0,,,,
"有些心意不用讲太多，开箱就知道。#松茸 #送礼 #山珍 #时令鲜","export/UzFfBgAAxM-nBARMYwGIjMzT4DCafyRcFPXLZDO1uixRNTMRUw","2026/07/31","17.64%","16.69秒",550,0,0,0,0,0,0,0,0,0,,,,
"松茸最好的面子，不在盒子里，在饭桌上。#松茸 #送礼 #高端食材 #野生菌","export/UzFfBgAAxM-nWCwOYT6JjMzT4DCaftdyS_Yp6jpKpD05f0UB3Q","2026/07/30","19.95%","18.68秒",777,2,0,0,0,0,0,0,0,0,,,,
"好食材送出去，也要让人知道怎么吃。#松茸 #送礼 #山珍 #时令鲜","export/UzFfBgAAxKmgCBQtDg6JjMzT4DCab75Z40luFZ1C3Fcq8bJPNQ","2026/07/30","21.22%","12.65秒",740,0,0,0,0,1,0,0,0,0,,,,
"心意不只在盒子，也在时间。#松茸 #送礼灵感 #山珍","export/UzFfBgAAxKigVHlMEmGOjMzT4DCa__ZeeArn5fSEdM4c50pqdA","2026/07/29","13.32%","7.51秒",488,0,0,0,0,0,0,0,0,0,,,,
"珍贵之物，也要让人会吃。#松茸送礼 #山珍 #滋补食材","export/UzFfBgAAxNanHCl4BmiOjMzT4DCaBFGgj77jJNQJ9eSSlRl7NA","2026/07/29","16.86%","7.57秒",516,0,0,0,0,0,0,0,0,0,,,,
"体面不是摆着看，是吃得懂。#松茸 #滋补食材 #送礼灵感","export/UzFfBgAAxNKnWEkuMkyPjMzT4DCa_xVxKie-YcPi1bCrnPf5aQ","2026/07/28","13.81%","11.70秒",485,0,0,0,0,0,0,0,0,0,,,,
"珍贵之物，最好落在一餐饭里。#松茸 #送礼 #山珍","export/UzFfBgAAxNinQCBQEVGPjMzT4DCaXKfaJtwS46TbjM20la8Wbw","2026/07/28","9.05%","6.15秒",409,0,0,0,0,0,0,0,0,0,,,,
"松茸不是离山越近越划算，到手状态才算数。#松茸 #冷链 #买菜避坑","export/UzFfBgAAxKqgZAN0MyyNjMzT4DCaGyDF1hgCTBLO9AMKwrm8IQ","2026/07/27","8.64%","12.35秒",359,0,1,0,0,0,0,0,0,0,,,,
"松茸到餐桌前，不是简单从山上搬到城里。#松茸价格 #野生菌 #山珍","export/UzFfBgAAxM-nfHx6IzSNjMzT4DCae3nzMSI3jdakiwlFf73tDg","2026/07/27","10.20%","8.31秒",343,0,1,0,0,0,0,0,0,0,,,,
"真正让人记住的礼，是能出现在第一顿饭里。#松茸礼盒 #乔迁送礼 #高端食材","export/UzFfBgAAxMunfFQvM22CjMzT4DCab2tCdQbxCRxEhSNVyYg63A","2026/07/26","6.37%","8.77秒",361,1,1,0,0,0,0,0,0,0,,,,
"礼物不是越稀奇越好，能让全家吃上才算到位。#松茸送礼 #家庭餐桌 #山珍","export/UzFfBgAAxNenFAxCByWAjMzT4DCavxuUZfufWWtlwhtrnzSPlA","2026/07/25","4.48%","6.28秒",134,1,1,0,0,0,0,0,0,0,,,,
"山珍送出去不是结束，对方能轻松端上桌才叫送到位。#松茸送礼 #食材礼 #送礼避坑","export/UzFfBgAAxNunVHorLSyBjMzT4DCaWqFWjBbeU643HE5-2CJ46w","2026/07/24","22.06%","8.01秒",204,0,0,0,0,0,0,0,0,0,,,,
"老人舍不得吃好东西，送松茸时要帮他们把第一顿安排好。#松茸送礼 #爸妈礼物 #山珍","export/UzFfBgAAxMmnAGcSXDyBjMzT4DCaU90eIe8tAVKUdOFmiWqwQg","2026/07/24","9.09%","5.67秒",177,0,0,0,0,0,0,0,0,0,,,,
"家宴送松茸，不是越稀罕越好，要让主人当天能端上桌。#松茸家宴 #送礼 #高端食材","export/UzFfBgAAxMOnYDZ6MQeGjMzT4DCaHYqZo_Wz_ybFF7sHhFoDJw","2026/07/23","15.71%","14.87秒",192,0,0,0,0,0,0,0,0,0,,,,
"懂吃的人收礼，看的是你有没有把这顿饭也安排好。#松茸送礼 #山珍礼品 #饭局","export/UzFfBgAAxKygFD03Vw6GjMzT4DCaqXcAWTszl1Pcnb1s1q5NDA","2026/07/23","5.60%","4.94秒",125,0,0,0,0,0,0,0,0,0,,,,
"真正会收礼的人，不只听产地，还会想今晚怎么上桌。#松茸送礼 #广东美食 #山珍","export/UzFfBgAAxManLCATdkyEjMzT4DCaRL3Ir9c1J3cZQ78jpJMzeg","2026/07/21","11.76%","7.59秒",187,0,0,0,0,0,0,0,0,0,,,,
"松茸送礼，稀缺只是第一层，能吃到新鲜才是体面。#松茸礼盒 #一线城市送礼 #滋补食材","export/UzFfBgAAxM2nIHEINRG7jMzT4DCajjWi-ZHlgZaEF0yAwuHeVg","2026/07/19","6.91%","6.11秒",188,0,1,0,0,0,0,0,0,0,,,,
"好礼不是放进冰箱拍照，是让对方当天就敢开锅。#松茸送礼 #山珍礼品 #送礼避坑","export/UzFfBgAAxMenJFxKU3i7jMzT4DCa2IawPm4X9Pw7W7Iu8S8N8w","2026/07/19","17.16%","10.14秒",203,0,0,0,1,0,1,0,0,0,,,,
"送亲家讲究体面，也讲究对方一打开就知道新鲜。#松茸 #送礼 #家宴","export/UzFfBgAAxNKnQAsUanK4jMzT4DCatzL0tJLd32ov02ub7H1DYQ","2026/07/18","3.60%","5.06秒",139,0,1,0,0,1,0,0,0,0,,,,
"客户收礼最怕不会吃，吃法说明比大包装更有用。#松茸送礼 #客户礼 #山珍","export/UzFfBgAAxN-nABZBR164jMzT4DCagRN0FMvBy2D8sl0g9qei3w","2026/07/18","5.38%","6.20秒",186,0,0,0,0,0,0,0,0,0,,,,
"长辈更在意怎么吃、会不会浪费、当天能不能做。#松茸 #送长辈 #滋补食材","export/UzFfBgAAxNeneCZab125jMzT4DCavfb9t2A1RwLAyZCdtHi6Mw","2026/07/17","11.86%","7.58秒",177,0,0,0,0,0,0,0,0,0,,,,
"送懂吃的人，包装不是重点，到手能吃出香才体面。#松茸送礼 #山珍礼盒 #送礼","export/UzFfBgAAxKmgIBdONC2-jMzT4DCapGnG3JVZr7JutDkw61JrKw","2026/07/17","8.97%","6.42秒",234,0,0,0,0,0,0,0,0,0,,,,
"松茸五年孕育而成，赏味期短，天然鲜味无可替代 #松茸 #野生菌 #美食科普","export/UzFfBgAAxMenbFhhIAW_jMzT4DCaLUhQx_Bi35IK8zdx58UZGg","2026/07/16","25.25%","10.55秒",198,0,0,0,1,0,1,0,0,0,,,,
"两小时慢煲，让香气自己说话　#松茸 #阿妈汤煲 #广东靓汤","export/UzFfBgAAxKCgFDNOTk29jMzT4DCaax905CxWqzcmdltPbT7Clw","2026/07/14","22.11%","16.84秒",398,0,1,0,1,0,1,0,0,0,,,,
"松茸的价值3大要点：香气、营养、口感都在线，蛋白质、氨基酸和微量元素丰富，贵有贵的理由。#美食 #松茸","export/UzFfBgAAxKOgUHMBbDyzjMzT4DCau2V7AwODhPv3QxjFLqaBcw","2026/07/13","29.46%","15.04秒",533,0,2,0,11,2,11,0,0,0,,,,
"采、分、冷、送，每一步慢一点，香气都在少。#松茸 #供应链 #美食","export/UzFfBgAAxNOnHHUcF26wjMzT4DCaOlGm9StQp9KwSTTgqxdaTg","2026/07/12","19.11%","12.25秒",586,1,3,1,0,0,0,0,0,0,,,,
"你看到的是价格，山里人看到的是损耗、时间和风险。#松茸 #山货 #食材价格","export/UzFfBgAAxN6nfFI2Y1mxjMzT4DCar2c62qeLC5VDorgdhmSMpg","2026/07/11","15.99%","9.64秒",594,0,0,0,0,0,0,0,0,0,,,,
"松茸的价值3大要点：香气、营养、口感都在线，蛋白质、氨基酸和微量元素丰富，贵有贵的理由。#松茸营养 #菌中之王 #滋补美食 #高端食材 #菌菇料理","export/UzFfBgAAxPSnUFczZze3jMzT4DCa9MeTxvDhfNzDKymOKT4p9g","2026/07/10","19.07%","15.84秒",1783,2,3,0,33,2,33,0,0,0,,,,
"地下环境、湿气、木质和菌丝接上，才有机会冒出这一口鲜。#荔枝菌 #生态链 #野生菌科普","export/UzFfBgAAxKOgZEAVTxW0jMzT4DCaG2eJOrvu2k3WkyIU4NxlrA","2026/07/09","22.02%","12.93秒",1385,0,0,0,0,0,0,0,0,0,,,,
"老广省俭也识货，一碗白面拌松茸菌油，吃出千元餐厅的鲜。 #松茸 #松茸菌油 #老广识货","export/UzFfBgAAxMenFA5zAGa0jMzT4DCayHeUkE7Pxh3f0gLOG1d0YA","2026/07/09","7.80%","9.13秒",295,0,1,0,0,0,0,0,0,0,,,,
"荔枝菌的白蚁故事，不是猎奇，是地下生态慢慢接出来的鲜。#荔枝菌 #白蚁生态 #科学解密","export/UzFfBgAAxN-nNFRje2O0jMzT4DCadmS-0FbeRNlYGaXt6u8TwQ","2026/07/09","16.32%","10.89秒",576,0,1,0,0,1,0,0,0,0,,,,
"真正留下人的，是全家一起等一口汤的那个瞬间。#荔枝菌 #明星同款 #亲子饭桌","export/UzFfBgAAxKygRBpcaWC1jMzT4DCaCUS6OLy3hPS5DqIbm-C2_Q","2026/07/08","4.84%","7.09秒",413,0,0,0,0,0,0,0,0,0,,,,
"让孩子愿意坐下来闻一闻、猜一猜，饭桌就有了记忆点。#荔枝菌 #综艺同款 #家庭饭桌","export/UzFfBgAAxNWnFG02bXi1jMzT4DCa8Kn3j6DjYNihTp1Xr2I9GQ","2026/07/08","6.05%","7.27秒",248,0,0,0,0,0,0,0,0,0,,,,
"剩菌煮粥好不好吃，关键在昨晚有没有留住那点菌汁。#荔枝菌 #广东粥 #家常吃法","export/UzFfBgAAxK-gSA9BaUiqjMzT4DCassaC3IXcgDgRVhOIty1atw","2026/07/07","20.05%","12.56秒",1212,1,1,0,1,0,1,0,0,0,,,,
