"视频描述","视频ID","发布时间","完播率","平均播放时长","播放量","推荐","喜欢","评论量","分享量","关注量","转发聊天和朋友圈","设为铃声","设为状态","设为朋友圈封面","企微链接点击次数","企微链接点击人数","添加到通讯录次数","添加到通讯录人数"
"鲜货到家，不只看照片，要看入口前的状态。#松茸 #新鲜松茸 #松茸吃法大全 #松茸美食","export/UzFfBgAAxNWjLDYcbVnvk8zT4DCaXhFUWxSktMTh9guEtGWk2g","2026/08/22","26.26%","10.61秒",575,0,0,0,0,0,0,0,0,0,,,,
"清淡不是没味，是香气自己能站住。#松茸 #野生松茸 #松茸吃法大全 #当季山珍","export/UzFfBgAAxOWjFDdYLTzsk8zT4DCa_hEVFw6E5e9vMdUHnNyTSQ","2026/08/22","12.58%","10.46秒",302,1,1,0,0,0,0,0,0,0,,,,
"高客单食材值不值，饭桌会给答案。#松茸 #松茸吃法大全 #野生菌 #松茸美食","export/UzFfBgAAxPujHB9wPybtk8zT4DCaiEK1JBsysrcEYji6VKZJpg","2026/08/21","17.47%","9.04秒",395,1,0,0,0,0,0,0,0,0,,,,
"松茸好不好吃，路上已经先决定一半。#松茸 #野生菌 #美食 #新鲜松茸","export/UzFfBgAAxPqjLGYQSTbtk8zT4DCa8pZsymiSdFvyNdOqn3COCQ","2026/08/21","14.96%","8.39秒",381,0,0,0,1,0,1,0,0,0,,,,
"819_3.mp4
#不要变内容 #只修改和强化 #根据我发你的爆款逻辑来。要夸张 #要爆。输出为word 

","export/UzFfBgAAxMWjRCNCWDPtk8zT4DCaxYPQUmzavDdMRBshZtydhw","2026/08/21","9.26%","7.87秒",107,0,0,0,0,0,0,0,0,0,,,,
"清蒸松茸最迷人的一秒，就在掀盖那下。#松茸 #松茸吃法大全 #山珍美味 #美食","export/UzFfBgAAxPKjJB5hVhjik8zT4DCayEpIeOjK7MGrumph7hvEaQ","2026/08/20","14.36%","8.25秒",188,0,0,0,0,0,0,0,0,0,,,,
"不用复杂搭配，松茸自己的香气就够抓人。#松茸 #野生松茸 #时令山珍 #美食","export/UzFfBgAAxN6jKDQdJXHik8zT4DCaCw9nIqHTYewBSnFaG-O-sA","2026/08/20","20.31%","9.98秒",388,0,0,0,0,0,0,0,0,0,,,,
"真正鲜的汤，不一定浓，入口才知道。#松茸 #野生松茸 #广东美食 #山珍美味","export/UzFfBgAAxMqjVE8RGGbjk8zT4DCaXjG0JKQM4-Uhw4BLOwnxRg","2026/08/19","12.40%","10.35秒",371,0,0,0,0,1,0,0,0,0,,,,
"轻煎不是炫技，是把松茸香气逼出来。#松茸 #野生松茸 #美食 #野生菌 #老广美食","export/UzFfBgAAxPGjbAV4Tnnjk8zT4DCaY9C4Aei583pcgxSCzzovNw","2026/08/19","7.98%","8.29秒",376,0,0,0,1,0,1,0,0,0,,,,
"清蒸松茸最迷人的一秒，就是蒸汽扑出来。#松茸 #野生松茸 #美食 #当季美食","export/UzFfBgAAxPKjeCk3W1zjk8zT4DCaNYn1RdMLUZktnIx9_GWqOQ","2026/08/19","6.64%","7.66秒",226,0,0,0,0,0,0,0,0,0,,,,
"一盒松茸的碎边，也能做出记忆点。#松茸 #新鲜松茸 #野生菌 #美食","export/UzFfBgAAxMSjWElmZ0Xgk8zT4DCaH5iOUvxMjwFg7PUglL6RQQ","2026/08/18","20.72%","11.63秒",473,0,0,0,0,0,0,0,0,0,,,,
"不是只有紧伞才值得吃，香气散开也迷人。#松茸 #松茸吃法大全 #野生菌 #季节限定","export/UzFfBgAAxNejDBw6X0Dgk8zT4DCasvxLDNNpECcoAJzrFRFWLw","2026/08/18","11.19%","7.67秒",268,0,0,0,0,0,0,0,0,0,,,,
"不是靠浓味，是靠入口那股清香。#松茸 #野生松茸 #野生菌 #当季美食","export/UzFfBgAAxNSjLAJsRk7gk8zT4DCagwS4Jr2rXlFtLza1YkmfcQ","2026/08/18","12.88%","7.89秒",264,0,0,0,0,0,0,0,0,0,,,,
"冷不等于新鲜，开箱要看状态。#松茸 #新鲜松茸 #野生菌 #野生松茸","export/UzFfBgAAxNujDFBeIS_mk8zT4DCauySj-RYsvitqMXsRYFaGDQ","2026/08/17","17.14%","18.71秒",700,0,0,0,1,0,1,0,0,0,,,,
"时间错了，清蒸也会变闷。#松茸 #清蒸松茸 #厨房避坑 #野生菌","export/UzFfBgAAxPCjFD1vUzzmk8zT4DCaio0w_R0OzQkoIQafoHh0Vg","2026/08/17","37.05%","15.58秒",950,1,4,0,7,1,7,0,0,0,,,,
"大小不是面子，紧实才是值。#松茸 #野生松茸 #野生菌 #滋元堂","export/UzFfBgAAxN6jVA1hPx3nk8zT4DCa_WIV-28CcqVxFiN2IjNhYQ","2026/08/16","50.79%","11.05秒",8133,20,23,1,76,15,76,0,0,0,,,,
"蒸好了又闷回去，清香会变闷。#松茸 #松茸吃法大全 #野生菌 #滋元堂","export/UzFfBgAAxMWjPBhgZHLnk8zT4DCajlUoG-a9ctpuUVpFJNMliQ","2026/08/16","19.57%","10.39秒",276,1,1,0,0,0,0,0,0,0,,,,
"规格只是价格表，状态才是入口。#松茸  #野生菌 #美食 #菌菇美食","export/UzFfBgAAxP6jAGd8BEPkk8zT4DCa2nZIovG_JF2S0KgYlCl4Hg","2026/08/15","20.75%","13.05秒",211,0,1,0,0,0,0,0,0,0,,,,
"汤清不是没味，盐太早才压味。#松茸 #滋元堂 #野生菌 #厨房技巧","export/UzFfBgAAxPSjVCdAAS7lk8zT4DCahAKWv0nSMW3kiOGi26DzwA","2026/08/15","25.40%","16.61秒",252,1,2,0,0,0,0,0,0,0,,,,
"不是搭棚给水就行，难在地下那张根网。#松茸 #野生菌 #菌菇科普 #野生松茸","export/UzFfBgAAxPujfApjaV_lk8zT4DCaLl9YahYyS9E0KOy78kD5aA","2026/08/14","20.48%","10.59秒",210,0,1,0,0,0,0,0,0,0,,,,
"蒸得越久不等于越香，别把汁水蒸没了。#松茸 #新鲜松茸 #野生菌 #滋元堂","export/UzFfBgAAxNyjIHVPayCajMzT4DCayZpXwL-Ri0hGg9IQIrokTA","2026/08/14","34.90%","13.68秒",255,0,0,0,2,0,2,0,0,0,,,,
"买松茸别被山土感骗了，状态才值钱。#松茸揭秘 #买菜避坑 #野生菌","export/UzFfBgAAxNujbDVeOQ2bjMzT4DCaDWODC_8k3KGjF2HbN0Iz_g","2026/08/13","26.56%","12.84秒",192,0,0,0,0,0,0,0,0,0,,,,
"鲜松茸吸水性强，水洗会把本味泡淡。#松茸处理 #厨房避坑 #野生菌","export/UzFfBgAAxNyjLBlFG26YjMzT4DCaqrdLzQNyN6iFQ9f6WtC5Mg","2026/08/12","34.15%","12.58秒",205,0,0,0,0,0,0,0,0,0,,,,
"同一朵松茸，不同部位受热也不一样。#松茸吃法 #厨房技巧 #野生菌","export/UzFfBgAAxPCjVDEeKkyZjMzT4DCaxtN5AC-x_JDrR0GJzcoWhA","2026/08/11","23.50%","10.78秒",234,0,0,0,0,0,0,0,0,0,,,,
"专注野生菌贸易
如有需要可以扫码#野生菌","export/UzFfBgAAxNSjKBsvIRafjMzT4DCatXBHboBmRIgMCCOP5HLZbQ","2026/08/10","-","20.00秒",3,0,0,0,0,0,0,0,0,0,,,,
"松茸洗的是泥，不是把山气泡没。#松茸清理 #野生菌 #厨房技巧","export/UzFfBgAAxMmjGHwfKyCTjMzT4DCazOyp9rJFHE22h4WG9EjLKQ","2026/08/07","37.50%","13.97秒",256,0,0,0,2,0,2,0,0,0,,,,
"鲜松茸最怕一次全处理，勤快过头反而亏。#松茸处理 #鲜货保存 #厨房避坑","export/UzFfBgAAxNOjDF01GzKTjMzT4DCaHEEKxUX5ePukTpQ1eZeqDA","2026/08/07","30.99%","10.25秒",242,1,0,0,2,0,2,0,0,0,,,,
"松茸不是切得越薄越高级，脆嫩要留厚度。#松茸吃法 #现切现做 #食材避坑","export/UzFfBgAAxNCjWA4ZJjiQjMzT4DCa12FOcRW-G-bbRH4LmQBU8g","2026/08/06","22.73%","9.98秒",219,0,0,0,0,0,0,0,0,0,,,,
"收到鲜松茸别急着密封，闷出水最伤状态。#松茸处理 #鲜货保存 #厨房避坑","export/UzFfBgAAxMqjKC8JXgKQjMzT4DCa9UTBQ9yTgsJ8LgO-naj1Rw","2026/08/06","46.20%","19.90秒",5638,14,24,0,62,10,62,0,0,0,,,,
"种不出来不是玄学，是山里条件太难复刻。#松茸 #野生菌 #山珍科普
","export/UzFfBgAAxMOjLEpRD2ORjMzT4DCaukXZtwv5IFHKFkj657RkFQ","2026/08/05","28.93%","13.51秒",280,0,1,0,0,0,0,0,0,0,,,,
"煎松茸别靠油撑场，靠的是香气。#松茸 #清煎松茸 #美食 #山珍","export/UzFfBgAAxM6jMFFpOmyVjMzT4DCahQOkR0eIoLEXxSfpri0Jzw","2026/08/02","19.30%","11.21秒",228,0,0,0,0,0,0,0,0,0,,,,
"松茸清汤不是比谁料多，是比谁敢少。#松茸 #松茸清汤 #美食 #野生菌","export/UzFfBgAAxN-jGB8cfVGKjMzT4DCaNyYeZi4y1TcobPJqbVQqYA","2026/08/01","17.48%","10.80秒",246,0,0,0,0,0,0,0,0,0,,,,
"清汤不是寡淡，是把本味放出来。#松茸 #松茸清汤 #美食 #野生菌","export/UzFfBgAAxMGjDAc6IViLjMzT4DCadFvuF0_PT-lynBHlRBWSXA","2026/07/31","14.50%","8.55秒",262,0,0,0,1,0,1,0,0,0,,,,
"清蒸不是偷懒，最能看出松茸值不值。#松茸 #清蒸松茸 #美食 #山珍","export/UzFfBgAAxOWjdE1UPjuIjMzT4DCaklgLSzakQsukkAQB2nvPtA","2026/07/31","26.04%","12.97秒",265,0,0,1,0,0,0,0,0,0,,,,
"清蒸松茸最值钱的，不只是菌片，还有盘底那口汁。#松茸 #清蒸松茸 #美食 #山珍","export/UzFfBgAAxPmjXEpKdD2JjMzT4DCa9EYCFiXk3DsDufynLl1eRw","2026/07/30","23.18%","12.22秒",301,0,0,0,0,0,0,0,0,0,,,,
"松茸不是越薄越入味，薄过头就少了口感。#松茸 #清煎松茸 #美食 #野生菌","export/UzFfBgAAxMCjUAMobwyJjMzT4DCat0mbD4q9amAz01Eocst2GA","2026/07/30","14.16%","9.34秒",226,0,0,0,0,0,0,0,0,0,,,,
"松茸要托香，不要盖香。#煎松茸 #松茸美食 #山珍","export/UzFfBgAAxMGjfEJeT2SOjMzT4DCaobumC_vcU_CSQ7Jt2wbDqw","2026/07/29","22.68%","12.32秒",626,0,0,0,1,0,1,0,0,0,,,,
"少动手，才吃得出松茸。#清蒸松茸 #松茸做法 #美食","export/UzFfBgAAxPejfEBGAmmOjMzT4DCarwtQgOo-7a4s5Xctlr804g","2026/07/29","24.02%","9.65秒",612,0,0,0,0,0,0,0,0,0,,,,
"焦味一重，清香就没了。#松茸 #煎松茸 #山珍美食","export/UzFfBgAAxNWjVB5hUUOPjMzT4DCaZ6JRt5tWM3rB2rBeObCIEA","2026/07/28","21.08%","11.41秒",1142,0,1,0,3,0,3,0,0,0,,,,
"做得越少，越看得出本味。#松茸 #清蒸松茸 #美食推荐","export/UzFfBgAAxP6jOBt0XUiPjMzT4DCalokIRC_LI93cXEyKTKcljg","2026/07/28","27.07%","10.59秒",979,0,2,0,1,0,1,0,0,0,,,,
"清甜菜底能接住菌汁，松茸不一定非要配肉。#松茸娃娃菜 #松茸吃法 #清淡美食","export/UzFfBgAAxPOjUCheRyqNjMzT4DCaRaNJnJUEKiysJ9lsm197zg","2026/07/27","19.18%","9.53秒",609,0,0,0,0,0,0,0,0,0,,,,
"香气出来就要停。#松茸#野生菌#美食","export/UzFfBgAAxM6jDC4GKmKCjMzT4DCaEgeDuzE_J3-z3ez_pZPpKg","2026/07/26","27.40%","12.95秒",1482,1,2,0,1,0,1,0,0,0,,,,
"清蒸不是偷懒，是最会吃。#松茸#山珍#美食","export/UzFfBgAAxMmjFAZVDV6DjMzT4DCaUIuv4tAUw0TEBn5xMLMSGA","2026/07/25","17.30%","9.56秒",445,1,2,0,1,0,1,0,0,0,,,,
"清甜菜底能接住菌汁，松茸不一定非要配肉。#松茸娃娃菜 #松茸吃法 #清淡美食","export/UzFfBgAAxNqjKHRobV6AjMzT4DCajpP_g82yBNn2lup6Qy-GhA","2026/07/24","20.04%","8.92秒",474,0,1,0,1,0,1,0,0,0,,,,
"牛肉香可以托松茸甜，但重腌会把菌香盖住。#松茸牛肉 #松茸美食 #家常菜","export/UzFfBgAAxMujZFZ1Xz2BjMzT4DCa4qU7MoQfGnWujxUL5DK9AQ","2026/07/24","22.57%","10.58秒",887,1,2,0,4,0,4,0,0,0,,,,
"虾仁要弹，松茸要脆，火候一过就全浪费。#松茸虾仁 #松茸吃法 #家常美食","export/UzFfBgAAxMOjDAsYHTiGjMzT4DCaWLDc0FIxCjtxmzFJXFcuzA","2026/07/23","22.07%","11.65秒",938,1,1,0,1,1,1,0,0,0,,,,
"豆腐托住松茸香，吃的是嫩、鲜、甜，不是重口味刺激。#松茸豆腐 #松茸美食 #清淡吃法","export/UzFfBgAAxNqjfDYPaQOGjMzT4DCaHYZVr54rWF8-ZxWZxeSOgQ","2026/07/23","25.92%","11.51秒",841,0,0,0,0,0,0,0,0,0,,,,
"排骨能托香，但豆豉蒜蓉太重，松茸就没声音了。#松茸美食 #蒸排骨 #山珍吃法","export/UzFfBgAAxPGjLCgjGFWEjMzT4DCa_hRMa8NCHXq27ckqLa9fvw","2026/07/21","26.97%","12.46秒",1487,0,0,0,3,0,3,0,0,0,,,,
"煲仔饭的锅巴很香，但松茸不能被锅巴味完全压住。#松茸煲仔饭 #松茸吃法 #美食","export/UzFfBgAAxPCjCGp2RBy7jMzT4DCarjQiXndYXcXoyUBa8FjvxA","2026/07/19","6.59%","8.41秒",440,0,0,0,0,0,0,0,0,0,,,,
"炒饭要香，松茸要有存在感，先后顺序一错就浪费。#松茸炒饭 #松茸美食 #家常做法","export/UzFfBgAAxMijIG0sdH27jMzT4DCaPE5k9wI-ezcm-2kclOqaEA","2026/07/19","18.34%","16.68秒",616,0,1,0,0,0,0,0,0,0,,,,
"松茸粥要米香托菌香，不是把菌熬到找不到。#松茸粥 #松茸吃法 #家常美食","export/UzFfBgAAxPOjGGEhWHu4jMzT4DCaiDsUrSs82t2be_B6etrQvA","2026/07/18","13.98%","10.03秒",515,0,1,0,0,0,0,0,0,0,,,,
"火锅吃松茸，要让汤干净，别让重味先把香气盖掉。#松茸火锅 #松茸美食 #吃法","export/UzFfBgAAxPOjTDtaeCS5jMzT4DCaiBhQAPycjQIreWwS9GUjSQ","2026/07/18","16.89%","9.11秒",457,0,1,0,1,0,1,0,0,0,,,,
"外面微焦，里面有汁，才是烤松茸该有的口感。#烤松茸 #松茸吃法 #美食","export/UzFfBgAAxM6jJEpMb125jMzT4DCacpSlR-Uw1DSTaEHkDIhGqw","2026/07/17","13.45%","9.26秒",446,0,0,0,3,0,3,0,0,0,,,,
"鸡香托住松茸香，轻盐少油才有那口鲜。#松茸蒸鸡 #松茸美食 #家常菜","export/UzFfBgAAxPCjOFZcDyy-jMzT4DCahjHUmOtKgwcsfAg5DVOkeQ","2026/07/17","16.96%","8.77秒",459,0,0,0,0,0,0,0,0,0,,,,
"松茸刺身清爽鲜香，搭配土鸡炖煮温润浓郁 #松茸 #美食 #鲜味工艺","export/UzFfBgAAxP2gDBx2Xga_jMzT4DCaLMC9e3pakp_3HQfvHTPHvg","2026/07/16","24.09%","12.04秒",1453,2,0,0,5,0,5,0,0,0,,,,
"云南头采和尾水价差三倍，一句话问出真假　#松茸 #避坑指南 #源头溯源","export/UzFfBgAAxPmgNF4dA069jMzT4DCaY7Oa2gciAzEKQvQAjQdKhQ","2026/07/14","26.92%","12.64秒",899,0,2,0,0,0,0,0,0,0,,,,
"松茸贵在环境、时间和到手状态，不是名字听起来高级。#松茸 #山珍 #高端食材","export/UzFfBgAAxMygZAYxPH-wjMzT4DCaW5zf9oB0rdTzJoBUpEqBDQ","2026/07/12","14.07%","16.28秒",391,1,1,0,0,0,0,0,0,0,,,,
"好松茸不是每一朵都能上桌，挑剩下的差别很大。#松茸 #食材成本 #野生菌","export/UzFfBgAAxPCgeGwSS1exjMzT4DCa1ArYn9MOVLzgqpS8uiyOow","2026/07/11","21.19%","11.28秒",821,0,1,0,1,0,1,0,0,0,,,,
"酒楼那口鲜，先看食材状态，再谈配方和火候。#荔枝菌 #明星同款 #私厨揭秘","export/UzFfBgAAxOigbAYmdga0jMzT4DCaxlAU8tzBv1QAB4u1xS2CbA","2026/07/09","30.40%","13.67秒",875,1,2,0,0,0,0,0,0,0,,,,
"在家复刻荔枝菌私厨菜，最该学的是顺序和分寸，不是盘子。#荔枝菌 #明星私厨 #酒楼同款","export/UzFfBgAAxMGgeDhJYWS0jMzT4DCanaKOqVUXoyH7jvwvLaIIIw","2026/07/09","17.07%","10.05秒",375,0,1,0,0,0,0,0,0,0,,,,
"菌脚和菌伞状态不同，刀工要服务鲜味，不是服务镜头。#荔枝菌 #极致工艺 #切菌技巧","export/UzFfBgAAxPCgRBBaSHW1jMzT4DCatotdsPr9PYk2jl7iPuhP0Q","2026/07/08","20.32%","10.98秒",433,0,0,0,0,0,0,0,0,0,,,,
"荔枝菌刀工不是炫技，太薄反而容易失水没口感。#荔枝菌 #刀工展示 #厨房技巧","export/UzFfBgAAxP6gfHt8PVe1jMzT4DCaKWlbema5NtulITmDGV4d4Q","2026/07/08","17.77%","13.77秒",512,0,0,1,0,0,0,0,0,0,,,,
"看价格别只看今天涨跌，要看这几天雨、太阳和损耗。#荔枝菌 #旺季淡季 #买菌避坑","export/UzFfBgAAxPygEHA_bk-qjMzT4DCavaqv2a03_skebIqsEvJaVw","2026/07/07","31.15%","16.22秒",1374,0,0,0,0,0,0,0,0,0,,,,
"荔枝菌价格看似按季节走，真正影响的是当天量、状态和损耗。#荔枝菌 #价格波动 #商业揭秘","export/UzFfBgAAxMygdEAiLDKrjMzT4DCaV4wwbBvodMl9bdSZVoQ-1Q","2026/07/07","30.47%","13.00秒",1421,1,2,0,0,2,0,0,0,0,,,,
"荔枝菌真正的成本，藏在分拣损耗和到厨房还挺不挺。#荔枝菌 #电商水分 #商业揭秘","export/UzFfBgAAxMqgXBVodzaojMzT4DCaTruYr2Tu9y3HffYyeBxnyg","2026/07/06","40.30%","18.39秒",3315,1,3,0,1,1,1,0,0,0,,,,
"野生荔枝菌只比价格，很容易把离土时间和保鲜链路一起比没了。#荔枝菌 #电商价格 #买菜避坑","export/UzFfBgAAxOGgUE46VRiojMzT4DCa7tbMsazN84WrobBsWj3BwQ","2026/07/06","36.90%","15.74秒",1309,0,1,0,0,0,0,0,0,0,,,,
"看起来一筐菌，到厨房还能不能清蒸出味，才是链路真正的考验。#荔枝菌 #供应链 #老广买菜","export/UzFfBgAAxOCgNDFfdmapjMzT4DCa3sKpJe7RAsM5O4ZbxxEHkw","2026/07/05","25.04%","14.84秒",1258,1,1,0,0,0,0,0,0,0,,,,
"名字一样，产地不同，鲜味差三倍。#荔枝菌 #真假 #揭秘","export/UzFfBgAAxMqgOGdUDHKpjMzT4DCaPTdXf-2_rOPSEyMZe0wZOA","2026/07/05","35.80%","23.09秒",2433,3,10,2,2,2,2,0,0,0,,,,
"荔枝菌从山头到餐桌，真正贵的是不能慢、不能闷、不能压。#荔枝菌 #商业揭秘 #冷链配送","export/UzFfBgAAxP2gCBt7KEepjMzT4DCaSPwzhl9QSl_egywMaxLknw","2026/07/05","39.20%","14.30秒",4627,3,10,1,1,2,1,0,0,0,,,,
"凌晨上山、分拣、预冷、赶车，慢一步，到厨房就少一口鲜。#荔枝菌 #菌农 #老广","export/UzFfBgAAxPagZHJbVUaujMzT4DCaGINwZZS6_kPKjR7DgJKoEQ","2026/07/04","27.28%","15.48秒",1260,0,1,0,1,0,1,0,0,0,,,,
"不是菌难做，是你还没开始。#荔枝菌 #厨房新手 #反问","export/UzFfBgAAxOOgXC8DXl2ujMzT4DCaaOfZR1WoEW-NWwRvlz-Itg","2026/07/04","10.57%","11.11秒",596,0,0,0,0,0,0,0,0,0,,,,
